tipo,outcome,control,event_time,estimate,se,ci_low,ci_high
margen,m97,lejano,-5,0.587819535805608,0.565618319725484,-0.520792370856341,1.69643144246756
margen,m97,lejano,-4,0.73506334671504,0.426777628571246,-0.101420805284601,1.57154749871468
margen,m97,lejano,-3,1.03487190979026,0.42190562121945,0.207936892200139,1.86180692738038
margen,m97,lejano,-2,0.0305336241561686,0.349401969760371,-0.65429423657416,0.715361484886497
margen,m97,lejano,-1,0,0,0,0
margen,m97,lejano,0,-0.759988665660764,0.395868651805449,-1.53589122319944,0.0159138918779167
margen,m97,lejano,1,-1.43754636673246,0.601838878442832,-2.61715056848042,-0.257942164984514
margen,m97,lejano,2,-1.35788484971281,0.637345176092485,-2.60708139485408,-0.108688304571543
margen,m97,lejano,3,-1.62539626172054,0.733772882618625,-3.06359111165304,-0.187201411788035
margen,m97,lejano,4,-1.70326570667944,0.869427113615515,-3.40734284936584,0.000811436006974198
margen,m97,lejano,5,-1.90324382111178,0.861849810606167,-3.59246944989987,-0.214018192323696
margen,m97,lejano,6,-1.6442159537064,0.831322849866719,-3.27360873944517,-0.0148231679676325
margen,m97,lejano,7,-2.05940874389025,0.942190289848086,-3.9061017119925,-0.212715775788002
margen,m97,lejano,8,-2.73958413643251,0.911227338530256,-4.52558971995181,-0.95357855291321
