horizon,group,estimate,se,dimension,ci_low,ci_high
20,media,0.652312508866866,0.00907716854492496,competidores_2km,0.634521258518813,0.670103759214919
21,media,0.664913143494231,0.00847694576277723,competidores_2km,0.648298329799188,0.681527957189274
22,media,0.659271733388541,0.00852566059458972,competidores_2km,0.642561438623146,0.675982028153937
23,media,0.659707809309994,0.00849883880709523,competidores_2km,0.643050085248088,0.676365533371901
24,media,0.649923704987074,0.00855953469456949,competidores_2km,0.633147016985718,0.666700392988431
25,media,0.659589851932142,0.00848427290924651,competidores_2km,0.642960677030019,0.676219026834265
26,media,0.661581542118082,0.0085756355994494,competidores_2km,0.644773296343161,0.678389787893003
0,alta,0.511201599010677,0.0124351686062477,competidores_2km,0.486828668542431,0.535574529478922
1,alta,0.567349575422181,0.0115914805304897,competidores_2km,0.544630273582421,0.590068877261941
2,alta,0.592081373615374,0.0111091695329842,competidores_2km,0.570307401330725,0.613855345900023
3,alta,0.603191022705466,0.0108589922321373,competidores_2km,0.581907397930477,0.624474647480455
4,alta,0.613858110992673,0.0105618695734598,competidores_2km,0.593156846628692,0.634559375356654
5,alta,0.617732554834512,0.0103468546889986,competidores_2km,0.597452719644075,0.638012390024949
6,alta,0.623673031812672,0.0101889899182107,competidores_2km,0.603702611572979,0.643643452052365
7,alta,0.627024281607212,0.00995032324710291,competidores_2km,0.60752164804289,0.646526915171533
8,alta,0.630014898017563,0.00980344698368996,competidores_2km,0.610800141929531,0.649229654105595
9,alta,0.626799464268968,0.00995849364351267,competidores_2km,0.607280816727683,0.646318111810253
10,alta,0.630605765620618,0.009822690991764,competidores_2km,0.611353291276761,0.649858239964476
11,alta,0.634258678800399,0.00976863247567585,competidores_2km,0.615112159148075,0.653405198452724
12,alta,0.61078776232809,0.0105725881925696,competidores_2km,0.590065489470654,0.631510035185527
13,alta,0.613459488114893,0.0104611903415134,competidores_2km,0.592955555045527,0.633963421184259
14,alta,0.617803881108768,0.0103045520966468,competidores_2km,0.59760695899934,0.638000803218195
15,alta,0.63052952137378,0.009666584803923,competidores_2km,0.611583015158091,0.649476027589469
16,alta,0.645740590612458,0.00943287421846845,competidores_2km,0.62725215714426,0.664229024080656
17,alta,0.65814048356085,0.00877968814963609,competidores_2km,0.640932294787564,0.675348672334137
18,alta,0.649085917916097,0.00965096486343744,competidores_2km,0.63017002678376,0.668001809048435
19,alta,0.644321366923832,0.00927406519560172,competidores_2km,0.626144199140452,0.662498534707211
20,alta,0.628872532975566,0.0101552958380725,competidores_2km,0.608968153132944,0.648776912818188
21,alta,0.6409154436797,0.00953653463306395,competidores_2km,0.622223835798894,0.659607051560505
22,alta,0.636852710966048,0.00967469782905159,competidores_2km,0.617890303221107,0.655815118710989
23,alta,0.635874547353695,0.00955262262898901,competidores_2km,0.617151407000876,0.654597687706513
24,alta,0.633567824378418,0.0095575809233179,competidores_2km,0.614834965768714,0.652300682988121
25,alta,0.639164121184818,0.00952150734695176,competidores_2km,0.620501966784792,0.657826275584843
26,alta,0.639020838616839,0.00961834299445969,competidores_2km,0.620168886347698,0.65787279088598
0,carretera,0.531049909257464,0.0174365114078366,carretera,0.496874346898105,0.565225471616824
1,carretera,0.602355596623074,0.0165893926580941,carretera,0.569840387013209,0.634870806232938
2,carretera,0.619065867228705,0.0159862168567158,carretera,0.587732882189542,0.650398852267868
3,carretera,0.627860158180172,0.0158290405382384,carretera,0.596835238725225,0.658885077635119
4,carretera,0.634902812584382,0.0154339823279438,carretera,0.604652207221612,0.665153417947152
5,carretera,0.644460162532433,0.0150757680744744,carretera,0.614911657106464,0.674008667958403
6,carretera,0.646845326004955,0.01486102673211,carretera,0.61771771361002,0.675972938399891
7,carretera,0.649432370103377,0.0145922952999711,carretera,0.620831471315433,0.67803326889132
8,carretera,0.653384712845016,0.0143495200789918,carretera,0.625259653490192,0.68150977219984
9,carretera,0.650146230382526,0.0145536011462297,carretera,0.621621172135916,0.678671288629136
