horizon,sentido,het,estimate,se,n,dimension,ci_low,ci_high
0,sube,shell,0.377998427449367,0.00841027030688631,441844,marca,0.36151429764787,0.394482557250864
1,sube,shell,0.389961282215631,0.00855143763907549,441844,marca,0.373200464443043,0.406722099988219
2,sube,shell,0.423637662468627,0.00811673967735556,441844,marca,0.40772885270101,0.439546472236243
3,sube,shell,0.467098464770535,0.00976876835567539,441844,marca,0.447951678793411,0.486245250747659
4,sube,shell,0.563370320952354,0.00920082206697426,441844,marca,0.545336709701085,0.581403932203624
5,sube,shell,0.603014274412458,0.00760380453698751,441844,marca,0.588110817519962,0.617917731304953
6,sube,shell,0.596615284690265,0.00638381174654868,441844,marca,0.584103013667029,0.6091275557135
7,sube,shell,0.644520596809344,0.00594508624581014,441844,marca,0.632868227767556,0.656172965851132
8,sube,shell,0.671236743579708,0.00526614822259626,441844,marca,0.660915093063419,0.681558394095997
9,sube,shell,0.682046257320686,0.00460981695385334,441844,marca,0.673011016091133,0.691081498550238
10,sube,shell,0.699214804488987,0.00410888309259933,441844,marca,0.691161393627493,0.707268215350482
11,sube,shell,0.707160219849238,0.00366171151739054,441844,marca,0.699983265275152,0.714337174423323
12,sube,shell,0.733557495583731,0.00303329699694522,441844,marca,0.727612233469718,0.739502757697744
