tipo,grupo,outcome,event_time,estimate,se,ci_low,ci_high
margen,nunca,m97,1,-2.75499462622142,0.909324190804017,-4.53727004019729,-0.972719212245543
margen,nunca,m97,2,-1.52755648436086,1.00852437563474,-3.50426426060496,0.449151291883241
margen,nunca,m97,3,-1.50460560825653,1.09036307299569,-3.64171723132809,0.632506014815026
margen,nunca,m97,4,-2.43386228999918,1.31544235452403,-5.01212930486628,0.144404724867925
margen,nunca,mdi,-4,-0.718348009600112,0.829478569737012,-2.34412600628466,0.907429987084431
margen,nunca,mdi,-3,0.415113430318984,0.662583503768889,-0.883550237068039,1.71377709770601
margen,nunca,mdi,-2,0.525552894380215,0.41619597687877,-0.290191220302174,1.3412970090626
margen,nunca,mdi,-1,0,0,0,0
margen,nunca,mdi,0,-2.73785731069295,0.630970267812496,-3.97455903560544,-1.50115558578046
margen,nunca,mdi,1,-2.9270377127658,0.647170561764692,-4.19549201382459,-1.658583411707
margen,nunca,mdi,2,-3.18874489162203,0.665122949785353,-4.49238587320132,-1.88510391004274
margen,nunca,mdi,3,-4.41936967642923,0.763921675667957,-5.91665616073842,-2.92208319212003
margen,nunca,mdi,4,-4.92252079332612,0.999565644720388,-6.88166945697808,-2.96337212967416
